created at,author,title,description,rating,replied,response,responseTime
2023/09/29 10:29,Lungie M,Blocked account,"My account  is blocked ,and it has the money  of a society  I don't  know  what can  I say to them ,because  they want",1,1,"The business has replied privately, and only Lungie M can view this message.",2023-09-29 10:33:51
2023/09/29 10:09,Mahlatse K,Refund Request...Worse Service Ever,"I've neve experienced such disgusting service ever.

So on the 31st of August 2023 I made a booking on bookings.com and immediately cancelled it for personal reasons, however the funds were deducted from my account but never reversed into my account liased with capitec from the day of the reversed payment and I've need promised refund to fate no refund was issued so I'm writing to hello peter to assist me in getting my refund as I need to use that money urgently, here are the list of *********** agents I dealt with:
-Nompumelelo Mkhwa****, very *********** lady who just misled me with falls information juts to get me off the line. She confirmed if I dnt get refund by Friday the 22nd September 2023 i should send an email to ***********, I followed all instructions and got no response, did a follow up email on Tuesday the 26th still did not get any response I then decided to call in spoke to Mikhail who adv his escalating the matter by Friday 29 September 2023 the money should reflect I won't need to call back again but here I am calling again and given run arounds.
- Amanda Msomi, twice as useless she ddnt even bother to hear me out she just transferred the call without advising
- Gugu Ngubeni advice she can see all the records but she needs to escalate the matter...adviced I'm waiting for anymore escalations I'm holding on the line until I get my funds back into my account she then told me about processes which I've been following since the 31st of August 2023. I then requested to speak to her Supervisor who Tshepo Lekgala this 1 right here thinks his a smooth talker  busy telling me about the same processes that Gugu told me about telling me to wait 7 days they need to dispute with the merchant and truth is I waited all the turn atounds time.privided I can't wait anymore. Can you please help me get my money reversed back into my account because dealing with Capitec directly is draining more.than anything this Tshepo boy is the rudest of them.ll I wish call cam be listened to and again I need a refund of all the airtime I spend close to R350 of airtime and still matter not resolved.",1,1,"The business has replied privately, and only Mahlatse K can view this message.",2023-09-29 10:32:52
2023/09/29 09:11,Caleb W,Set off without my consent,"I am totally disappointed with the service i received from Capitec. I received a msg saying that one of my accounts was in a negative balance and they have app**** a set off- meaning they have transferred money from my account with a positive balance to the one with a negative balance without my permission or even letting me know that this is it. Their terms and conditions do not even have a clause regarding ""set off"" . I am totally out of pocket now. I was not even aware that my account was in negative as on the app, it just showed a balance of R 0. 00. Yet over R 2000 was app**** as a set off. Surely they are not allowed to do this without my consent. I will be taking this up further if my money is not transferred back into my account asap.",1,1,"The business has replied privately, and only Caleb W can view this message.",2023-09-29 10:32:23
2023/09/29 07:13,Wandile M,My account is frozen,"Hi guys ..I need help my account was frozen 3years ago and I have been trying to get help from the branch but still nothing, please guys assist me with regards the matter.

I have changed my contact details that are registered to your system will provide the new ones privately",1,1,"The reviewer has replied privately, and only Capitec Bank can view this message.",2023-09-29 07:14:58
2023/09/29 07:08,Phumelele M,I can't move my savings to my main account,"Hi guys, I have a problem 😒 I can't access my savings but my main account is working, please guys help with regards this matter",3,1,"The business has replied privately, and only Phumelele M can view this message.",2023-09-29 10:28:04
2023/09/29 06:55,Siphiwe M,Agent did not even probe to check on the system,"[09/29, 06:38] Capitec App: *Nathanael*
Welcome to the Capitec bank WhatsApp platform. You are now through to a human agent. Please allow me just a few moments to read your previous communication with us. I will advise shortly.
[09/29, 06:38] M.A.V.O.V.O: Hi
[09/29, 06:38] Capitec App: *Nathanael*
Thank you for your patience. I noticed your query wasn’t specified. How may I assist you today?
[09/29, 06:38] M.A.V.O.V.O: My company deposited funds into my account it's not reflecting
[09/29, 06:39] Capitec App: *Nathanael*
Transfers to external banks can take up to 2 - 3 working days to reflect. This excludes public holidays and weekends. Please confirm with the external bank if the same applies to them.
[09/29, 06:39] M.A.V.O.V.O: Everyone got paid who uses capitec
[09/29, 06:40] M.A.V.O.V.O: They sent funds to the Siphiwe Joseph Mkhize account.
[09/29, 06:41] M.A.V.O.V.O: Are you still there?
[09/29, 06:41] Capitec App: *Nathanael*
Transfers to external banks can take up to 2 - 3 working days to reflect. This excludes public holidays and weekends. Please confirm with the external bank if the same applies to them.
[09/29, 06:43] M.A.V.O.V.O: Sir most of us at my work we use capitec, its impossible for everyone to get paid but I do not. I was using fnb decided to bank with capitec again.
[09/29, 06:44] M.A.V.O.V.O: I do not know if probing its part of your job?
[09/29, 06:45] M.A.V.O.V.O: I was using capitec before, decided to use it again. I am not sure if everything is fine with my account?
[09/29, 06:47] Capitec App: *Nathanael*
This is an incoming payment which means you will need to escalate the matter with the sender and their bank regarding the payment that was made. As previously stated multiple times.
[09/29, 06:48] M.A.V.O.V.O: You have not checked on the system you are just using sticky notes without checking thoroughly on the system.
[09/29, 06:49] Capitec App: *Nathanael*
This is the system on I am providing information relevant to your query.
[09/29, 06:49] M.A.V.O.V.O: Brand Capitec it's the most trusted brand, I am so disappointed at the bad service I am receiving.
[09/29, 06:50] M.A.V.O.V.O: My worry it's you do not probe thoroughly, it's like I am just a number.
[09/29, 06:50] Capitec App: *Nathanael*
Please elaborate on the bad service you are getting so that I can make the necessary improvements.
[09/29, 06:50] M.A.V.O.V.O: Let me exit this chat and try to speak to a different agent.
[09/29, 06:51] Capitec App: *Nathanael*
Is there anything else I can do for you?
[09/29, 06:52] M.A.V.O.V.O: You will be hearing from me from hellopeter thank you for the worst service ever.
[09/29, 06:53] Capitec App: *Nathanael*
We understand the importance of providing excellent customer service and are committed to resolving any issues you may have. If you have any further questions or concerns, please do not hesitate to contact us again. Have a wonderful day further.",1,1,"The business has replied privately, and only Siphiwe M can view this message.",2023-09-29 07:03:23
2023/09/28 22:36,Katleho K,Capitec bank,"On the 22 of August 2023 I created a bank account at Capitec Naledi Mall branch in vosloorus - immediately after creating the account, I tried to deposit cash (R11,000) into the account through their ATM machine outside the branch. After that, I waited for about a minute while their ATM was processing the transaction/deposit, soon after that their ATM gave me a 'deposit error' message and it gave back the card but not the cash I deposited. I immediately went back to the branch and lodged a complaint and they said it might take 24hrs - 48hrs or 14 days at most to resolve my case but nothing seems to be happening. I contact them every day and even go to their branch all they say is that they're still investigating (but via text they say my requested service was unsuccessful, and therefore the case has been closed). What does that even mean? Should I forget about my money? I asked them to escalate this matter and even check their cameras on that day but nothing is happening. I really hate this bank it has caused me a lot of stress.",1,1,"The business has replied privately, and only Katleho K can view this message.",2023-09-29 10:20:04
2023/09/28 21:57,Mogamat G,Capetic the disgrace,"firstly ...capetic is my own bank i was in desparate need of money to get myself out a situation and my own bank can never help me with a debt relief or a sort term loan and never qualify for anything in past when where in bad situation Banks always helped now ,you can get nothing out of capetic Banks not even a little money...Makes me think why i am bankın with them they franchise is so useless this bank need to be remove and there employers are very helpful but the company or bank totally is a disgrace ...they just there ti change u so much bank Charges or control and watch ur bank debts go off that's what just there for...the bank as franchise is full of şhit dry ****",1,1,"Good day MogamatThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 21:59:31
2023/09/28 21:12,Duduetsang B,Disgusting service,Capitec call centre agents service sucks!!!! My cellphone banking suddenly stopped working and when people try and send me money they receive an error message saying I've changed my number and that my number is not verified. I've been using the same number for years and it's strange that it suddenly needs to be verified when I verified it years ago. I called the call centre for assistance and I spoke to an agent that told me that she doesn't know why my number is not working and why it reflects as unverified. She works for Capitec but she can't explain what happened. It's 9pm and she told me to go to the bank to get assistance. I asked her to transfer me to someone that can explain to me what is going on and hopefully assist and she hung up on me. Is this how you train your employees? You don't teach them the basics of customer service and they know nothing about your systems. Why must I go to a branch to find out what's going on with my account when there's a call centre filled with people who should be capable of assisting me? Can someone urgently contact me and assist!???,1,1,"Good day DuduetsangThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 21:16:21
2023/09/28 21:00,Busisiwe M,Very angry and frustrated,"Good day I am Busisiwe Mapete

I the 24th of September early hours of the morning there was a *****ulent transaction that happened in my account. So I called capitec four times to report the case but I managed to get hold of the consultant. Explained everything that an amount of R1103. 32 is missing on my account I didn't not do it or approve it.

She then said she will log a case to a relevant department and close my card because ****mers only use last 4 digits of your card number. She said I will get my money withing 7 to 14 Working days they have a lot of cases that similar to mine. And she further more said I will have to go to the bank and make new card but will use same account number


I went to the bank at Souther wood Square in EAST London the consultant that was helping me said my case /investigation is closed because it shows from their side I approved it on the App, I then told her is did not this nonsense happened early hours of the morning and I was asleep I only saw it pass 11:00am. No communication was made with me that is what ****es me off and my money is not paid back, how can I case be closed without my money being pad and me as a client being informed. Meaning that if I did not go to the back to ask the progress and do new card I was never going to find out 😭😭😭😭


I ended up closing my account because of frustration, anger and fear of this kind of case might occur again and capitec does not have control over his system.

Please see below email I wrote to them and there is no response yet

"" 
Incedent number#‪**********24‬

My name is Busisiwe Mapete ID number ‪**********9****3‬, I am writing this email with an heavy heart😭😡. The time is 20:32p..

On the 24th of September early hours of the morning there was a *****ulent transaction that happened in my account. I saw it past 11:00am while I was on the capitec app, an amount of R1103. 12 was deducted in my account and I do not know this transaction or I did not approve or do it. 

I called capitec bank 4 times, I got cutted on the phone and the other agent I spoke to said she can't assist me her system is down, I called again and managed to talk to one of your consultants, I explained everything to her and she said she will log a case to a relevant department that will do the investigations and close my card number because ****mers are using last 4 numbers of your bank card even if your card is with you, She then said, I will have to go to the bank to do a new card. She then further more said I will get communication in regards to my case and also check progress on WhatsApp number that she messaged me and my money will be paid back within 7 to 14 Working days. 

On the 26th of September I went to the bank to check the progress of my case and also do a new card since the old card was closed. I went to capitec that is based at Southernwood Square, in East London the lady that I spoke to said my case Is closed no more further investigation will be Done on my case, and I was so surprised and hurt because there was no communication that was sent to me and I don't understand why they are saying investigation is closed but my money is not paid back. The consultant said this transaction was approved on the Capitec App of which I did not approved any online purchase as I was asleep the time it occurred. 

The way I was so angry and frustrated at the bank I was not impressed with your services and no communication was made with me whereas am the one who is suffering and that is my rent money. I ended up closing the account because am scared of ever using capitec bank again because of such cases, I was then told at the bank to pay card fee so that account can be closed, I refused to do that they called the main office and we ended up closing it with no fee paid. 


Please assist and help me out I need my money, find attached recording of the call I made with you guys on the 24th and screenshot of the *****ulent transaction 😭😭😭😭

I WANT MY MONEY. HOW DO YOU CLOSE AN INVESTIGATION / CASE WITHOUT INFORMING A CLIENT, SO I WAS SUPPOSE TO GO TO THE BANK TO RE- DO ANOTHER CARD I ORDER FOR ME TO GET SUCH DISTURBING FEEDBACK😭😭😭??? 

Regards 
Busisiwe """,1,1,"Good day Busisiwe Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 21:08:51
